hour,pv_power_kw,wt_power_kw,base_load_kw,tou_period,buy_price_cny_per_kwh,sell_price_cny_per_kwh,pv_used,wt_used,grid_buy,grid_sell,ess_charge,ess_discharge,ess_soc,load_curtailed,is_buying,is_selling,is_charging,is_discharging,pv_curtailed_kw,wt_curtailed_kw,served_load_kw,grid_cost_cny,ess_cost_cny,dr_cost_cny,total_cost_cny_daily
0,0.0,219.51,435.47,Valley,0.3708,0.2133,0.0,219.51,232.8021,0.0,16.8421,0.0,266.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,435.47,86.323,0.4211,0.0,2260.66
1,0.0,236.39,430.83,Valley,0.3814,0.2249,0.0,236.39,194.44,0.0,0.0,0.0,266.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,430.83,74.1594,0.0,0.0,2260.66
2,0.0,255.37,433.81,Valley,0.3757,0.2165,0.0,255.37,178.44,0.0,0.0,0.0,266.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,433.81,67.0399,0.0,0.0,2260.66
3,0.0,255.03,441.03,Valley,0.3863,0.2247,0.0,255.03,186.0,0.0,0.0,0.0,266.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,441.03,71.8518,0.0,0.0,2260.66
4,0.0,243.58,436.79,Valley,0.3846,0.2213,0.0,243.58,193.21,0.0,0.0,0.0,266.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,436.79,74.3086,0.0,0.0,2260.66
5,0.0,233.52,471.61,Valley,0.3764,0.2145,0.0,233.52,238.09,0.0,0.0,0.0,266.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,471.61,89.6171,0.0,0.0,2260.66
6,0.0,224.36,508.19,Valley,0.368,0.2105,0.0,224.36,503.83,0.0,220.0,0.0,475.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,508.19,185.4094,5.5,0.0,2260.66
7,142.57,179.47,542.35,Valley,0.3753,0.2154,142.57,179.47,220.31,0.0,0.0,0.0,475.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,542.35,82.6823,0.0,0.0,2260.66
8,268.59,151.86,556.59,Flat,0.6748,0.497,268.59,151.86,136.14,0.0,0.0,0.0,475.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,556.59,91.8673,0.0,0.0,2260.66
9,360.91,146.3,547.07,Flat,0.6767,0.4962,360.91,146.3,39.86,0.0,0.0,0.0,475.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,547.07,26.9733,0.0,0.0,2260.66
10,436.81,164.69,480.97,Peak,0.9758,0.7554,436.81,164.69,0.0,129.8733,0.0,9.3433,465.1649,0.0,0.0,1.0,0.0,1.0,0.0,0.0,480.97,-98.1063,0.2336,0.0,2260.66
11,472.88,175.49,448.24,Peak,0.9631,0.7359,472.88,175.49,0.0,200.13,0.0,0.0,465.1649,0.0,0.0,1.0,1.0,0.0,0.0,0.0,448.24,-147.2757,0.0,0.0,2260.66
12,478.92,163.27,396.5,Peak,0.9668,0.7418,478.92,163.27,0.0,245.69,0.0,0.0,465.1649,0.0,0.0,1.0,1.0,0.0,0.0,0.0,396.5,-182.2528,0.0,0.0,2260.66
13,475.51,151.76,398.64,Peak,0.984,0.7595,475.51,151.76,0.0,448.63,0.0,220.0,233.586,0.0,0.0,1.0,0.0,1.0,0.0,0.0,398.64,-340.7345,5.5,0.0,2260.66
14,434.03,154.59,414.85,Flat,0.6662,0.4927,434.03,154.59,0.0,0.0,173.77,0.0,398.6675,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,414.85,0.0,4.3443,0.0,2260.66
15,360.88,169.07,449.6,Flat,0.6664,0.4901,360.88,169.07,0.0,0.0,80.35,0.0,475.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,449.6,0.0,2.0088,0.0,2260.66
16,270.09,167.26,497.6,Flat,0.6607,0.4796,270.09,167.26,60.25,0.0,0.0,0.0,475.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,497.6,39.8072,0.0,0.0,2260.66
17,141.28,150.47,552.08,Flat,0.6605,0.4788,141.28,150.47,260.33,0.0,0.0,0.0,475.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,552.08,171.948,0.0,0.0,2260.66
18,0.0,130.97,589.26,Peak,0.9884,0.7598,0.0,130.97,167.5788,0.0,0.0,220.0,243.4211,70.7112,1.0,0.0,0.0,1.0,0.0,0.0,518.5488,165.6349,5.5,55.1547,2260.66
19,0.0,135.73,612.83,Peak,0.9843,0.7655,0.0,135.73,267.3104,0.0,0.0,136.25,100.0,73.5396,1.0,0.0,0.0,1.0,0.0,0.0,539.2904,263.1136,3.4062,57.3609,2260.66
20,0.0,145.17,619.78,Peak,0.9741,0.7468,0.0,145.17,400.2364,0.0,0.0,0.0,100.0,74.3736,1.0,0.0,1.0,0.0,0.0,0.0,545.4064,389.8703,0.0,58.0114,2260.66
21,0.0,163.5,585.01,Peak,0.9807,0.7581,0.0,163.5,351.3088,0.0,0.0,0.0,100.0,70.2012,1.0,0.0,1.0,-0.0,0.0,0.0,514.8088,344.5285,0.0,54.7569,2260.66
22,0.0,190.6,539.75,Flat,0.6723,0.4924,0.0,190.6,507.0447,0.0,157.8947,0.0,250.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,539.75,340.8862,3.9474,0.0,2260.66
23,0.0,204.26,505.81,Flat,0.686,0.5048,0.0,204.26,301.55,0.0,0.0,0.0,250.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,505.81,206.8633,0.0,0.0,2260.66
